mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logisticregression__C,param_logisticregression__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.03964686393737793,0.003688919172838188,0.012716531753540039,8.608053189689261e-05,1e-07,newton-cg,"{'logisticregression__C': 1e-07, 'logisticregression__solver': 'newton-cg'}",0.7555555555555554,0.7611940298507462,0.7611940298507462,0.7611940298507462,0.7518796992481204,0.758203468871183,0.0038427040502777812,26,0.7588785046728972,0.7574626865671642,0.7574626865671642,0.7574626865671642,0.7597765363128491,0.7582086201374478,0.0009566981862371768
0.032438802719116214,0.004009287118369005,0.012595605850219727,0.00026636472789198567,1e-07,lbfgs,"{'logisticregression__C': 1e-07, 'logisticregression__solver': 'lbfgs'}",0.7555555555555554,0.7611940298507462,0.7611940298507462,0.7611940298507462,0.7518796992481204,0.758203468871183,0.0038427040502777812,26,0.7588785046728972,0.7574626865671642,0.7574626865671642,0.7574626865671642,0.7597765363128491,0.7582086201374478,0.0009566981862371768
0.023216438293457032,0.0014851656690411537,0.012488412857055663,0.0006478957642607225,1e-07,liblinear,"{'logisticregression__C': 1e-07, 'logisticregression__solver': 'liblinear'}",0.7906976744186047,0.8031496062992126,0.7727272727272727,0.7611940298507462,0.7518796992481204,0.7759296565087913,0.0187873064525341,23,0.7762906309751435,0.7733333333333333,0.7617260787992495,0.7645951035781544,0.7861271676300579,0.7724144628631877,0.008709663687227849
0.16434664726257325,0.016363378332010653,0.011101198196411134,0.0002669218990342321,1e-07,sag,"{'logisticregression__C': 1e-07, 'logisticregression__solver': 'sag'}",0.7555555555555554,0.7611940298507462,0.7611940298507462,0.7611940298507462,0.7518796992481204,0.758203468871183,0.0038427040502777812,26,0.7588785046728972,0.7574626865671642,0.7574626865671642,0.7574626865671642,0.7597765363128491,0.7582086201374478,0.0009566981862371768
0.15558438301086425,0.015384600977998307,0.011675453186035157,0.0008878293473337568,1e-07,saga,"{'logisticregression__C': 1e-07, 'logisticregression__solver': 'saga'}",0.7555555555555554,0.7611940298507462,0.7611940298507462,0.7611940298507462,0.7518796992481204,0.758203468871183,0.0038427040502777812,26,0.7588785046728972,0.7574626865671642,0.7574626865671642,0.7574626865671642,0.7597765363128491,0.7582086201374478,0.0009566981862371768
0.0343963623046875,0.002727660542534395,0.011911582946777344,0.0008110112130992252,1e-06,newton-cg,"{'logisticregression__C': 1e-06, 'logisticregression__solver': 'newton-cg'}",0.7555555555555554,0.7611940298507462,0.7611940298507462,0.7611940298507462,0.7518796992481204,0.758203468871183,0.0038427040502777812,26,0.7588785046728972,0.7574626865671642,0.7574626865671642,0.7574626865671642,0.7597765363128491,0.7582086201374478,0.0009566981862371768
0.02642855644226074,0.0016927201948190654,0.011936092376708984,0.0005797777611365334,1e-06,lbfgs,"{'logisticregression__C': 1e-06, 'logisticregression__solver': 'lbfgs'}",0.7555555555555554,0.7611940298507462,0.7611940298507462,0.7611940298507462,0.7518796992481204,0.758203468871183,0.0038427040502777812,26,0.7588785046728972,0.7574626865671642,0.7574626865671642,0.7574626865671642,0.7597765363128491,0.7582086201374478,0.0009566981862371768
0.02241344451904297,0.0009026892443579158,0.012537622451782226,0.00023806462717250698,1e-06,liblinear,"{'logisticregression__C': 1e-06, 'logisticregression__solver': 'liblinear'}",0.7906976744186047,0.8031496062992126,0.7727272727272727,0.7611940298507462,0.7518796992481204,0.7759296565087913,0.0187873064525341,23,0.7762906309751435,0.7733333333333333,0.7617260787992495,0.7645951035781544,0.7861271676300579,0.7724144628631877,0.008709663687227849
0.06430120468139648,0.021340963878999888,0.017098617553710938,0.005768248520454578,1e-06,sag,"{'logisticregression__C': 1e-06, 'logisticregression__solver': 'sag'}",0.7555555555555554,0.7611940298507462,0.7611940298507462,0.7611940298507462,0.7518796992481204,0.758203468871183,0.0038427040502777812,26,0.7588785046728972,0.7574626865671642,0.7574626865671642,0.7574626865671642,0.7597765363128491,0.7582086201374478,0.0009566981862371768
0.08066596984863281,0.000863328741058556,0.013231992721557617,0.001922505074191321,1e-06,saga,"{'logisticregression__C': 1e-06, 'logisticregression__solver': 'saga'}",0.7555555555555554,0.7611940298507462,0.7611940298507462,0.7611940298507462,0.7518796992481204,0.758203468871183,0.0038427040502777812,26,0.7588785046728972,0.7574626865671642,0.7574626865671642,0.7574626865671642,0.7597765363128491,0.7582086201374478,0.0009566981862371768
0.035656976699829104,0.012763841399971472,0.012208080291748047,0.0020621460835167638,1e-05,newton-cg,"{'logisticregression__C': 1e-05, 'logisticregression__solver': 'newton-cg'}",0.7555555555555554,0.7611940298507462,0.7611940298507462,0.7611940298507462,0.7518796992481204,0.758203468871183,0.0038427040502777812,26,0.7588785046728972,0.7574626865671642,0.7574626865671642,0.7574626865671642,0.7597765363128491,0.7582086201374478,0.0009566981862371768
0.02809009552001953,0.0008391449296444233,0.01223306655883789,0.0007065226257873204,1e-05,lbfgs,"{'logisticregression__C': 1e-05, 'logisticregression__solver': 'lbfgs'}",0.7555555555555554,0.7611940298507462,0.7611940298507462,0.7611940298507462,0.7518796992481204,0.758203468871183,0.0038427040502777812,26,0.7588785046728972,0.7574626865671642,0.7574626865671642,0.7574626865671642,0.7597765363128491,0.7582086201374478,0.0009566981862371768
