,Mean Fit Time,Mean Score Time,Mean Train Score,Mean Test Score,Hyperparameter
Decision Tree,0.02082648277282715,0.012978601455688476,0.9975259386012072,0.9606137170146308,8.0
Logistic Regression,0.03032598495483398,0.010551261901855468,0.9467413032462388,0.9342350825318926,10.0
Gaussian,0.027725744247436526,0.014219903945922853,0.9087810233842508,0.9034752019928296,1e-07
